Type,Vm,H,G,Y,b
FM16,20,,16915,4975,29850
FM26,28,,16915,4975,29850
FM36,37,,16915,4975,43780
QF46,7363,,16915,4975,43780
WY1,3.5,2,,,
WY2,6,3,,,
WY3,10,597,,,
PM11,20,,5,,
PS12,20,,20,,
SM13,20,,50,,
SM14,20,,65,,
JM15,20,,12935,25,150
JM24,28,,65,,
JM25,28,,12935,25,150
1/3JM35,37,,12935,25,220
QM34,37,,65,25,220
QM43,7363,,50,25,220
QM44,7363,,65,25,220
QM45,7363,,12935,25,220
1/2Z23,28,,50,,
1/2Z33,37,,50,,
R22,28,,30,,
R32,37,,30,,
B21,28,,5,,
B31,37,,5,,
CY41,7363,,5,,
CY42,7363,,30,,
