id,coal_name,coal_belong,coal_type,coal_price,ori_coal_13mm,ori_coal_13_10mm,ori_coal_10_8mm,ori_coal_8_6mm,ori_coal_6_5mm,ori_coal_5_4mm,ori_coal_4_3mm,ori_coal_3_2mm,ori_coal_2_1mm,ori_coal_1_05mm,ori_coal_05mm,ori_coal_total,ori_coal_fineness,sma_coal_moi,sma__coal_6mm,sma__coal_6_5mm,sma__coal_5_4mm,sma__coal_4_3mm,sma__coal_3_2mm,sma__coal_2_1mm,sma__coal_1_05mm,sma__coal_05mm,sma__coal_total,sma_coal_fineness,coal_mad,coal_ad,coal_vdaf,coal_fcd,coal_vd,coal_ada,coal_vad,coal_fcad,coal_std,coal_ana_had,coal_ana_cad,coal_ana_nad,coal_ana_oad,coal_dry_hd,coal_dry_cd,coal_dry_nd,coal_dry_od,coal_drynoash_hdaf,coal_drynoash_cdaf,coal_drynoash_ndaf,coal_drynoash_odaf,G,X,Y,T1,T2,T3,a,b,Tp,Tmax,Tk,amax,Tk_Tp,DT,ST,HT,FT,SiO2,Al2O3,Fe2O3,CaO,MgO,P2O5,Na2O,K2O,TiO2,SO3,ash_total,V,I,E,M,live_idle_ratio,Rmax,micro_var,micro_type,oven_type,coking_style,dry_quality,heap_density,oven_moi,up_temper,down_number,hot_coke_qulity,hot_ratio_coke,quench_coke_weight,coke_moi,ratio_coke,coking_date,coking_process_time,coking_start_time,center_100_time,center_500_time,center_900_time,coking_end_time,coking_end_temp,coke_mad,coke_ad,coke_vdaf,coke_fcd,coke_vd,coke_aad,coke_vad,coke_fcad,coke_std,coke_80mm,coke_80_60mm,coke_60_40mm,coke_40_25mm,coke_25_20mm,coke_20_10mm,coke_10mm,coke_5mm,coke_sum,coke_60mm,coke_fineness,coke_M40,coke_M25,coke_M10,coke_CRI,coke_CSR,coke_DT,coke_ST,coke_HT,coke_FT,coke_750,coke_800,coke_850,coke_900,coke_950,coke_1000,coke_1050,coke_1100,coke_1150,coke_1200,coke_apparent_porosity,coke_real_density,coke_fake_density,coke_total_ratio,predicted_CSR,predicted_M10,predicted_CRI_expert,predicted_CSR_expert,predicted_M10_expert,predicted_M25_expert,predicted_CRI_error,predicted_CSR_error,predicted_M10_error,predicted_M25_error,predicted_CRI,predicted_M25,store_number
"37","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","28","","","","","","1","","","","","","","","","","","","","79","21","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","89","8","37","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"38","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","27","","","","","","2","","","","","","","","","","","","","76","17","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","38","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"39","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","29","","","","","","1","","","","","","","","","","","","","80","24","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","42","43","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"40","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","27","","","","","","2","","","","","","","","","","","","","75","19","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","88","8","35","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"41","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","27","","","","","","2","","","","","","","","","","","","","72","16","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"42","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","27","","","","","","2","","","","","","","","","","","","","72","21","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","87","8","38","44","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"43","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","2","","","","","","","","","","","","","75","17","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"44","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","2","","","","","","","","","","","","","75","25","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","86","10","41","38","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"45","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","27","","","","","","2","","","","","","","","","","","","","72","16","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","86","41","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"46","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","27","","","","","","2","","","","","","","","","","","","","72","21","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","87","8","38","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"47","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","2","","","","","","","","","","","","","81","23","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","87","9","38","47","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"48","","","判据不足","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","29","","","","","","1","","","","","","","","","","","","","80","18","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"49","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","29","","","","","","1","","","","","","","","","","","","","80","27","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","86","10","39","44","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"50","","","判据不足","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","30","","","","","","1","","","","","","","","","","","","","83","18","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"51","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","30","","","","","","1","","","","","","","","","","","","","83","29","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","87","9","38","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"52","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","12","11","29","","","","","","1","","","","","","","","","","","","","76","24","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","80","10","39","42","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"53","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","1","","","","","","","","","","","","","82","29","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","86","10","44","44","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"54","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","12","10","30","","","","","","1","","","","","","","","","","","","","88","27","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","86","10","40","44","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"55","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","1","","","","","","","","","","","","","78","27","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","39","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"56","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","30","","","","","","1","","","","","","","","","","","","","83","30","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","85","12","39","46","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"57","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","12","11","30","","","","","","1","","","","","","","","","","","","","86","26","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","84","12","39","46","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"58","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","1","","","","","","","","","","","","","77","26","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","86","10","38","46","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","30","","","","","","1","","","","","","","","","","","","","82","28","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","87","10","37","47","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","1","","","","","","","","","","","","","75","25","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","85","10","38","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","1","","","","","","","","","","","","","73","24","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","85","11","39","43","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","2","","","","","","","","","","","","","75","24","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","86","10","39","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","1","","","","","","","","","","","","","77","25","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","90","7","36","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","1","","","","","","","","","","","","","82","27","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","88","","36","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","1","","","","","","","","","","","","","82","27","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","88","7","36","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","1","","","","","","","","","","","","","82","27","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","88","9","36","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","1","","","","","","","","","","","","","79","25","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","6","37","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","1","","","","","","","","","","","","","79","14","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","1","","","","","","","","","","","","","79","25","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","6","37","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","1","","","","","","","","","","","","","77","24","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","6","40","47","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","1","","","","","","","","","","","","","77","25","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","39","42","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","27","","","","","","2","","","","","","","","","","","","","76","22","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","87","10","35","46","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","1","","","","","","","","","","","","","81","23","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","88","9","37","43","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","1","","","","","","","","","","","","","87","25","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","88","8","41","42","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","30","","","","","","1","","","","","","","","","","","","","83","24","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","89","8","38","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","29","","","","","","1","","","","","","","","","","","","","87","25","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","39","42","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","10","28","","","","","","1","","","","","","","","","","","","","87","24","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","88","7","42","42","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","27","","","","","","1","","","","","","","","","","","","","86","23","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","88","7","42","42","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","29","","","","","","1","","","","","","","","","","","","","81","23","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","89","7","37","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","26","","","","","","1","","","","","","","","","","","","","72","21","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","34","49","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","28","","","","","","1","","","","","","","","","","","","","79","25","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","89","9","34","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","29","","","","","","1","","","","","","","","","","","","","88","28","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","88","8","37","47","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","29","","","","","","1","","","","","","","","","","","","","81","30","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","90","7","33","53","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","28","","","","","","2","","","","","","","","","","","","","79","24","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","","","","53","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","28","","","","","","1","","","","","","","","","","","","","80","26","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","37","49","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","1","","","","","","","","","","","","","81","24","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","90","7","33","50","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","27","","","","","","1","","","","","","","","","","","","","78","22","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","88","9","39","43","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","27","","","","","","1","","","","","","","","","","","","","70","24","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","89","9","34","49","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","1","","","","","","","","","","","","","78","23","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","6","34","50","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","11","27","","","","","","1","","","","","","","","","","","","","80","22","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","88","8","40","42","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","28","","","","","","1","","","","","","","","","","","","","77","13","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","1","","","","","","","","","","","","","77","21","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","34","49","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","29","","","","","","1","","","","","","","","","","","","","82","16","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","29","","","","","","1","","","","","","","","","","","","","82","26","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","88","8","35","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","28","","","","","","1","","","","","","","","","","","","","79","23","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","35","49","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","28","","","","","","1","","","","","","","","","","","","","80","23","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","33","50","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","28","","","","","","1","","","","","","","","","","","","","79","24","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","35","49","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","1","","","","","","","","","","","","","87","26","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","89","8","37","46","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","1","","","","","","","","","","","","","81","20","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","90","7","33","52","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","1","","","","","","","","","","","","","79","19","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","80","12","37","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","28","","","","","","2","","","","","","","","","","","","","84","16","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","28","","","","","","2","","","","","","","","","","","","","85","16","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","28","","","","","","2","","","","","","","","","","","","","84","23","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","91","6","33","49","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","2","","","","","","","","","","","","","82","15","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","2","","","","","","","","","","","","","82","23","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","87","9","33","50","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","1","","","","","","","","","","","","","84","23","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","6","34","52","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
